,Index,imdbId,Uri,Title,IMDB_rating,Genre,Poster,Path,n_faces,dominant_color,median_lightness
171,25948,377057,http://www.imdb.com/title/tt377057,Elvis Has Left the Building (2004),5.3,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BODc0MjQ0OTY4NF5BMl5BanBnXkFtZTcwMjYwODY0Mw@@._V1_UY268_CR0,0,182,268_AL_.jpg",377057.jpg,0,gray,207.0
172,37393,59692,http://www.imdb.com/title/tt59692,Second Fiddle to a Steel Guitar (1965),7.7,Comedy|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmFiMzI0YWUtZDIxOS00YTQ1LWFmOGItMTkxZmU3YTkyOWNiXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_UX182_CR0,0,182,268_AL_.jpg",59692.jpg,16,white,231.0
173,14029,113421,http://www.imdb.com/title/tt113421,Indictment: The McMartin Trial (1995),7.8,Drama|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MDQ2OTQ4N15BMl5BanBnXkFtZTcwOTY0NTIyMQ@@._V1_UY268_CR7,0,182,268_AL_.jpg",113421.jpg,2,black,7.0
174,24120,1489248,http://www.imdb.com/title/tt1489248,A Golden Christmas (2009),5.7,Comedy|Family|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2OTk0MTUzM15BMl5BanBnXkFtZTcwMDc1NzI5Mw@@._V1_UY268_CR5,0,182,268_AL_.jpg",1489248.jpg,0,white,231.0
175,1210,50976,http://www.imdb.com/title/tt50976,The Seventh Seal (1957),8.2,Drama|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2I1ZWU4YjMtYzU0My00YmMzLWFmNTAtZDJhZGYwMmI3YWQ5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",50976.jpg,2,black,1.0
176,32575,2187444,http://www.imdb.com/title/tt2187444,Pernicious (2014),4.8,Horror|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTFhZWM2MzYtZGQyZi00MGQ3LTllZjctNTk4YzU2YTM3ZjAxXkEyXkFqcGdeQXVyMjUxOTAxNzI@._V1_UY268_CR3,0,182,268_AL_.jpg",2187444.jpg,3,black,61.0
177,19575,1746153,http://www.imdb.com/title/tt1746153,Crime After Crime (2011),7.5,Documentary|Biography|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNjk1NzE5NV5BMl5BanBnXkFtZTcwNDg3MzE0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",1746153.jpg,1,black,197.0
178,12033,796375,http://www.imdb.com/title/tt796375,You Kill Me (2007),6.5,Comedy|Crime|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyMjg3NDE4MDleQTJeQWpwZ15BbWU3MDg2NzE4NDE@._V1_UX182_CR0,0,182,268_AL_.jpg",796375.jpg,2,red,236.0
179,24984,1151827,http://www.imdb.com/title/tt1151827,RÌ_uber KneiÌÙl (2008),6.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMzE2NzUzMl5BMl5BanBnXkFtZTcwNTk4MzA0Mg@@._V1_UY268_CR3,0,182,268_AL_.jpg",1151827.jpg,0,olive,148.0
180,9604,379889,http://www.imdb.com/title/tt379889,The Merchant of Venice (2004),7.1,Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MTkyMTE4M15BMl5BanBnXkFtZTcwNDQ5NjcyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",379889.jpg,2,yellow,210.0
181,11182,415306,http://www.imdb.com/title/tt415306,Talladega Nights: The Ballad of Ricky Bobby (2006),6.6,Action|Comedy|Sport,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzAzOTk1OTIyM15BMl5BanBnXkFtZTcwNDIzNTQzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",415306.jpg,3,white,217.0
182,15885,1210106,http://www.imdb.com/title/tt1210106,St Trinian's 2: The Legend of Fritton's Gold (2009),5.4,Adventure|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MzkyMzI3MV5BMl5BanBnXkFtZTcwOTI3MzcwMw@@._V1_UY268_CR87,0,182,268_AL_.jpg",1210106.jpg,0,white,224.0
183,7335,329111,http://www.imdb.com/title/tt329111,Les í©garí©s (2003),6.6,Drama|Romance|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTM5NDcwM15BMl5BanBnXkFtZTcwMTEyOTUyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",329111.jpg,0,gray,158.0
184,14209,22279,http://www.imdb.com/title/tt22279,Private Lives (1931),6.9,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0NzM0MjA1Ml5BMl5BanBnXkFtZTcwOTU0NzcyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",22279.jpg,1,black,138.0
